Days,Baseline,alpha,min_pred_int,max_pred_int
1,190,0.1,94.4470641604955,275.776894258222
5,190,0.1,146.830308313044,318.985758412707
9,190,0.1,198.574463932189,354.377961756006
1,200,0.1,130.214413873502,283.153521189015
5,200,0.1,162.133061352683,332.709986434152
9,200,0.1,211.612371835726,360.29699817283
1,210,0.1,130.876443523214,286.61084297788
5,210,0.1,186.437813149007,324.829233182456
9,210,0.1,234.087719425303,401.32774293659
1,220,0.1,103.119239030421,319.932377781135
5,220,0.1,197.455945694811,342.026338701129
9,220,0.1,247.163045559138,377.773124534157
1,230,0.1,138.811770809398,328.407740992357
5,230,0.1,202.449802020296,378.855242315955
9,230,0.1,246.579117030916,415.562808982306
1,240,0.1,152.456693502493,329.702621401229
5,240,0.1,215.065714919229,369.210472720914
9,240,0.1,235.505972808571,407.5335339289
1,250,0.1,155.894744912396,329.632818954394
5,250,0.1,208.422521367893,378.35250370921
9,250,0.1,264.336380251962,420.174767500213
1,260,0.1,167.702739087101,363.126245754986
5,260,0.1,189.618379385276,384.567741825166
9,260,0.1,238.890521377844,421.436277496395
1,270,0.1,184.873992242108,336.621741278804
5,270,0.1,222.322291071533,394.155952300921
9,270,0.1,292.039108033595,487.549791179304
1,280,0.1,210.449936162703,355.825216543168
5,280,0.1,257.703596022234,418.106015092897
9,280,0.1,282.533278162707,443.239500442605
1,290,0.1,203.194019023835,382.807660826474
5,290,0.1,266.394018196189,416.024778151384
9,290,0.1,319.365072603443,518.59695725389
1,300,0.1,220.360650431786,369.778636517053
5,300,0.1,268.197654428039,407.594960576109
9,300,0.1,296.834138825314,469.612360819632
1,310,0.1,203.109064065485,382.394572870994
5,310,0.1,278.060303518518,425.740817879208
9,310,0.1,321.350863859465,491.796824980814
1,320,0.1,226.992555374392,387.694508187698
5,320,0.1,295.998189867266,469.894516631189
9,320,0.1,325.83384632208,466.072722773893
1,330,0.1,281.642946362122,372.080264005604
5,330,0.1,304.96763471426,464.877630806988
9,330,0.1,344.448161948626,486.26129261946
