Days,Baseline,alpha,min_pred_int,max_pred_int
1,190,0.1,87.0644591005662,293.282116290911
5,190,0.1,144.869729900786,335.135911396665
9,190,0.1,159.978013511646,409.663320200461
1,200,0.1,97.0667422324505,305.94167068047
5,200,0.1,154.190030720234,341.576406199115
9,200,0.1,166.979888568992,425.372722939684
1,210,0.1,107.159530043264,315.728052424464
5,210,0.1,163.077883781301,350.932203065072
9,210,0.1,183.180877450687,423.213664127249
1,220,0.1,108.073101632074,328.35861310101
5,220,0.1,170.113741592175,363.155730478625
9,220,0.1,197.927400241084,434.298297699794
1,230,0.1,124.792297495203,334.235449557505
5,230,0.1,181.526967556165,371.639339157616
9,230,0.1,205.590731429554,440.266729389922
1,240,0.1,130.535843705845,346.963660816347
5,240,0.1,193.977311162895,381.012329078863
9,240,0.1,220.092556921214,443.790648571295
1,250,0.1,140.148022510673,352.652865226501
5,250,0.1,202.856205559425,385.553392333337
9,250,0.1,223.663518111864,461.597458425982
1,260,0.1,141.468140800286,372.037966842437
5,260,0.1,208.109667934703,402.890830905956
9,260,0.1,240.969851296727,468.215830978019
1,270,0.1,152.504764253937,379.162837810677
5,270,0.1,219.360437601149,411.395779142288
9,270,0.1,251.209119535378,480.181581833562
1,280,0.1,161.698766962828,388.038567473238
5,280,0.1,223.825949378647,421.112011536272
9,280,0.1,259.135491216424,489.009363356052
1,290,0.1,164.05150147806,403.418371316737
5,290,0.1,232.53471438679,427.735885078441
9,290,0.1,274.166929187686,500.68127113141
1,300,0.1,171.70986456794,413.270827720305
5,300,0.1,243.472319170824,443.456350548882
9,300,0.1,279.557443575271,501.637190337783
1,310,0.1,185.36453145353,424.783768795
5,310,0.1,248.582125232867,454.23093173553
9,310,0.1,289.614388852262,511.232260529323
1,320,0.1,184.466058091686,439.384286274835
5,320,0.1,261.067760052013,461.72991649074
9,320,0.1,293.258691790327,523.997490940263
1,330,0.1,189.108143963733,444.5889741844
5,330,0.1,265.821256412628,470.011138242271
9,330,0.1,312.695878610622,528.598466899467
