sim,method_2_lb,method_2_ub,method_3_lb,method_3_ub
1,-2.1863665633688,2.69308208601664,-2.57686448986207,2.56411076928956
2,-2.81525960462241,2.73877824317279,-2.59552772518999,2.56959229216912
3,-2.47519542040137,2.43910736444008,-2.59732387411295,2.56788702528553
4,-2.34704430883165,2.69308208601664,-2.57253677361455,2.56783872536112
5,-2.22841884018782,2.21121137303992,-2.61807178143409,2.57814388042506
6,-2.74724317403326,2.2670957048402,-2.5699545737334,2.49054217868383
7,-2.37683077659699,2.8452372905083,-2.58965452217223,2.60693551509482
8,-2.34773330263053,2.15390285264635,-2.57822098316319,2.58158225573894
9,-3.30477187510238,2.84808921692627,-2.62471881696219,2.53910269175326
10,-2.7727414719048,2.26569731938441,-2.6228147346913,2.52996385706295
11,-3.04046387310476,2.58266314837631,-2.59315159753617,2.56770691164402
12,-2.712988445911,2.59181198396546,-2.58961093972736,2.55196378128874
13,-2.13368462342051,2.3577345201767,-2.57819857556057,2.51297420889064
14,-2.35758126031472,2.35792342402693,-2.50843849184127,2.56512027438839
15,-2.67787357845532,2.15377083124625,-2.57325247119412,2.59256994412457
16,-2.60703537426842,2.35678657740958,-2.54261957889056,2.56675609210931
17,-2.1480582714567,2.22222846947858,-2.55243964857729,2.53408303452615
18,-2.73342261655335,2.51539974790006,-2.60415767723392,2.55317785474588
19,-2.69922740548435,2.26417247493219,-2.5814768700252,2.57328082773522
20,-2.45834535534669,2.45257945732295,-2.60704992344155,2.51297372875029
21,-2.6247658122906,2.45412773326505,-2.62140844561117,2.56623629789832
22,-2.52946283212638,2.95846163427699,-2.58688483058492,2.55019808993703
23,-2.55241311177528,2.51770215585219,-2.57310735196851,2.53408008183181
24,-2.7373432803929,2.48735542147983,-2.63066691281409,2.53908631605114
25,-1.92843983681404,2.24058851165864,-2.59204006928808,2.52506406534931
26,-2.25421967205948,2.21456877566233,-2.57304200173683,2.56411143155964
27,-2.63478049042287,2.86163231663962,-2.58701529457881,2.53413298241514
28,-2.48939387887229,2.50119188949849,-2.62146426803426,2.52663201180271
29,-2.27781713400648,2.72558874730197,-2.59735227837194,2.50138098306348
30,-2.4233650356905,2.1403933856579,-2.55641285025694,2.59699883377399
31,-2.16274216781942,2.01608467340304,-2.54268959360327,2.53908799037084
32,-2.4694341249635,2.52505002326621,-2.55895937146109,2.56687439198079
33,-2.1675332176641,2.33593476982302,-2.56812738988679,2.56627182364981
34,-2.70440785199402,2.90928518789233,-2.58148730174419,2.48756689191838
35,-2.31113921890214,2.63742934490139,-2.5538363341886,2.56777763389015
36,-2.50848195324914,2.66783230151057,-2.60367183404457,2.59188917802631
37,-2.54266962905603,3.09890009228677,-2.5895767988101,2.56553997929662
38,-1.98466924689107,2.54229916938866,-2.56627208838683,2.57945796693242
39,-2.56817943312044,2.35792342402693,-2.54961554093226,2.55895375327421
40,-3.04454993596621,3.10311295353443,-2.628396573462,2.55896040700025
41,-2.00928033012124,2.13767893571933,-2.59189851069673,2.55707345863089
42,-3.00925433435783,2.46584412016052,-2.58259328619276,2.56501165943068
43,-2.56817943312044,2.93953870282151,-2.58956486004593,2.56456060991909
44,-2.36203568885442,2.30559502026144,-2.62129872102587,2.56418650697691
45,-2.5955239402545,2.43300896512522,-2.59553224711125,2.56548787145721
46,-2.71337542855494,3.26307949972192,-2.60204848510099,2.49158564260986
47,-2.68401343582625,2.62220958486542,-2.54803599803512,2.5649658470953
48,-2.57680135021746,2.17737419427121,-2.58218223947786,2.56952160956026
49,-2.68881747349651,2.35484673207819,-2.58228913367554,2.5732523289401
50,-2.39930876827632,2.45508019234282,-2.56627749175707,2.54235168725515
51,-2.4233650356905,2.35484673207819,-2.58137182058396,2.56772952300056
52,-2.46817265468843,2.38609922253145,-2.58647759563522,2.60064031169943
53,-2.29879599250741,2.49806216440743,-2.55187984068057,2.53733171582775
54,-2.57303762474312,2.47179807002231,-2.61804482531936,2.56464028421055
55,-2.35758126031472,2.55457289486125,-2.55882912879214,2.54369720056577
56,-2.31018117565475,2.59256876580449,-2.59184979492147,2.56420060075676
57,-2.70996120362353,2.5649891273566,-2.53705978664784,2.56779328315386
58,-2.28790342485677,2.69485606158575,-2.57825319067877,2.53898220808839
59,-2.38154227083393,2.50821339865584,-2.59198293451869,2.55714047446527
60,-2.77875551118709,2.40489107106004,-2.60017357300687,2.53400565476035
