k,n,tau_sq,coverage,avg_length
5,40,1,,
10,40,1,,
15,40,1,,
20,40,1,0.903,5.28512896279961
25,40,1,0.911,5.54785405401871
30,40,1,0.941,5.78414997322407
35,40,1,0.938,5.93051128414749
40,40,1,0.893,4.90995537371509
45,40,1,0.911,5.1039079247092
50,40,1,0.922,5.2482082013167
55,40,1,0.924,5.37258254536631
60,40,1,0.907,4.86540028668095
65,40,1,0.911,4.93457713040484
70,40,1,0.913,5.06199966106697
75,40,1,0.92,5.13901585954863
80,40,1,0.898,4.79715767920229
85,40,1,0.911,4.89191514364941
90,40,1,0.907,4.9592917312401
95,40,1,0.921,5.02176269483398
100,40,1,0.899,4.77851412390274
200,40,1,0.902,4.73533442235065
300,40,1,0.895,4.69496748368697
400,40,1,0.896,4.68110717458174
500,40,1,0.907,4.68094831950067
600,40,1,0.928,4.68282399651644
700,40,1,0.915,4.66684135429553
800,40,1,0.895,4.66442595080768
900,40,1,0.893,4.66322746852711
1000,40,1,0.905,4.6709708443345
5,100,1,,
10,100,1,,
15,100,1,,
20,100,1,0.894,5.24327198032572
25,100,1,0.923,5.55316396937935
30,100,1,0.93,5.72064750034235
35,100,1,0.946,5.97819805482301
40,100,1,0.907,4.96902043636302
45,100,1,0.913,5.10095565622702
50,100,1,0.912,5.26093391282782
55,100,1,0.931,5.41139195945197
60,100,1,0.907,4.86655613768201
65,100,1,0.912,4.95613826315783
70,100,1,0.909,5.04835683938004
75,100,1,0.915,5.11973129736584
80,100,1,0.904,4.82563848578571
85,100,1,0.911,4.85673151353547
90,100,1,0.919,4.98696697605595
95,100,1,0.915,5.0226758983805
100,100,1,0.899,4.78162021341265
200,100,1,0.897,4.70095052880321
300,100,1,0.913,4.7032345139064
400,100,1,0.888,4.68620424070256
500,100,1,0.883,4.68160252094846
600,100,1,0.892,4.67620733874689
700,100,1,0.902,4.67107768265543
800,100,1,0.885,4.66646336057944
900,100,1,0.902,4.67116053211599
1000,100,1,0.904,4.66149130647758
5,1000,1,,
10,1000,1,,
15,1000,1,,
20,1000,1,0.898,5.28922648193451
25,1000,1,0.917,5.56868164729959
30,1000,1,0.931,5.79481404888259
35,1000,1,0.958,5.92807214734298
40,1000,1,0.902,4.94537793600121
45,1000,1,0.907,5.07970341907197
50,1000,1,0.917,5.25529296386414
55,1000,1,0.924,5.3673770074723
60,1000,1,0.911,4.85647152871876
65,1000,1,0.9,4.94182232132305
70,1000,1,0.903,5.07957197010062
75,1000,1,0.921,5.15121924255257
80,1000,1,0.894,4.78242009039992
85,1000,1,0.901,4.87960562671338
90,1000,1,0.907,4.94605132518215
95,1000,1,0.917,5.05648611120212
100,1000,1,0.892,4.76511733458172
200,1000,1,0.903,4.71345967008417
300,1000,1,0.917,4.69173101240661
400,1000,1,0.898,4.67439906830049
500,1000,1,0.899,4.67294260979923
600,1000,1,0.906,4.67107619631995
700,1000,1,0.887,4.6685799224836
800,1000,1,0.893,4.66170195017247
900,1000,1,0.885,4.67046494482121
1000,1000,1,0.912,4.66768669219438
