k,n,tau_sq,coverage,avg_length
5,40,1,,
10,40,1,,
15,40,1,,
20,40,1,,
25,40,1,,
30,40,1,,
35,40,1,,
40,40,1,0.998,9.1728914148091
45,40,1,1,9.2562782830954
50,40,1,0.999,9.38108589688239
55,40,1,0.999,9.52224956932829
60,40,1,0.998,9.5913049130153
65,40,1,1,9.62370434334104
70,40,1,0.999,9.69245420457276
75,40,1,1,9.77152032643056
80,40,1,0.998,8.92784985281573
85,40,1,0.998,8.99419508084481
90,40,1,0.996,9.05253647531568
95,40,1,0.999,9.09790483100941
100,40,1,0.998,9.16244466057297
200,40,1,0.997,8.81729752737218
300,40,1,0.998,8.85680231967248
400,40,1,0.997,8.75283046113316
500,40,1,1,8.79506649197158
600,40,1,0.998,8.7497274769001
700,40,1,0.996,8.76388378568985
800,40,1,0.998,8.74098772356891
900,40,1,0.996,8.76598507922503
1000,40,1,0.999,8.7337646711788
5,100,1,,
10,100,1,,
15,100,1,,
20,100,1,,
25,100,1,,
30,100,1,,
35,100,1,,
40,100,1,0.998,8.88337622465843
45,100,1,0.997,8.9162476216793
50,100,1,0.998,9.02978584319304
55,100,1,0.997,9.09986792816209
60,100,1,0.997,9.15146450212174
65,100,1,0.994,9.23925974705856
70,100,1,0.999,9.3273269538442
75,100,1,0.998,9.37649832998952
80,100,1,0.998,8.63499789626086
85,100,1,0.997,8.66634890596562
90,100,1,0.997,8.71681116617972
95,100,1,0.996,8.73624590222124
100,100,1,0.999,8.8001492770078
200,100,1,0.999,8.49280528681726
300,100,1,0.999,8.53490779361716
400,100,1,0.997,8.43815786075824
500,100,1,0.997,8.48271056737539
600,100,1,0.997,8.4320058757625
700,100,1,0.998,8.45618209116888
800,100,1,0.994,8.42941863553812
900,100,1,0.998,8.45249323614681
1000,100,1,0.997,8.42837313137753
5,1000,1,,
10,1000,1,,
15,1000,1,,
20,1000,1,,
25,1000,1,,
30,1000,1,,
35,1000,1,,
40,1000,1,0.996,8.28712649758896
45,1000,1,0.993,8.39331572978984
50,1000,1,0.998,8.43007930842754
55,1000,1,0.996,8.51962580826673
60,1000,1,0.998,8.61147849648597
65,1000,1,0.996,8.65887157617678
70,1000,1,0.999,8.71448727328058
75,1000,1,0.999,8.77537611964434
80,1000,1,0.994,8.06825193711983
85,1000,1,0.991,8.12537320221387
90,1000,1,0.994,8.15429139804985
95,1000,1,0.996,8.21198404556592
100,1000,1,0.993,8.27449507210097
200,1000,1,0.991,7.94352840494245
300,1000,1,0.99,7.97830040556442
400,1000,1,0.997,7.90370732275103
500,1000,1,0.996,7.93158825610365
600,1000,1,0.993,7.90175772844435
700,1000,1,0.988,7.91989610629258
800,1000,1,0.997,7.88572682725931
900,1000,1,0.996,7.90796063780739
1000,1000,1,0.993,7.88361624837443
