sim,method_2_lb,method_2_ub,method_3_lb,method_3_ub
42,-2.4527477528275,2.45183224367942,-2.56192064192177,2.63488175481997
43,-2.88828529413897,2.58773187631173,-2.56436581603701,2.54892082269912
44,-2.67053476913756,2.58247021177236,-2.57751060522043,2.51445540836342
45,-2.14060268005881,2.32988055981794,-2.5757878726477,2.55065483797598
46,-2.39446169706682,2.71745715684205,-2.58861989066105,2.58878315960112
47,-2.20803619202866,2.68741031682734,-2.59380735716973,2.60393992414232
48,-2.3793014085976,2.31487205964441,-2.59412553384836,2.56483850794029
49,-2.92235353717816,3.15192580723751,-2.63675823070308,2.56953337969148
50,-2.59500133147288,2.59654128862609,-2.55789044059333,2.51046426954072
51,-2.66617654943984,2.33833486080557,-2.59457922383392,2.5464325900674
52,-1.9020741811948,2.22877795542333,-2.58051476218682,2.58317273131885
53,-2.37638261866983,2.95981920273994,-2.57870218385653,2.54851059692673
54,-2.09843129352526,2.46178012051441,-2.60014636458544,2.59530315106662
55,-3.00584822820769,2.74767227921966,-2.5848191481985,2.50845611395128
56,-2.54687401069716,2.55717275376286,-2.64382288718057,2.54087953094241
57,-2.52018908759199,2.63677298232312,-2.61178407644143,2.54932617932953
58,-2.74657058617499,2.64333466391819,-2.56100236844631,2.54330561139457
59,-2.32317551290516,2.45007732025281,-2.63888375897967,2.48263888891656
60,-2.51103799957564,2.05346141144546,-2.5434639963349,2.47381359440154
61,-2.31438620245261,2.59677206515936,-2.56978112548649,2.52092620704451
62,-2.88602126238649,2.36672956717942,-2.59732775972333,2.52570421634024
63,-3.04711371608131,2.82861135447461,-2.56842067839192,2.57554971184261
64,-2.06657987498128,2.63573348032819,-2.5524796479328,2.64121589671246
65,-2.07214666474992,2.61518924560498,-2.54196397435527,2.56438465020474
66,-2.75253192843614,3.01874336234641,-2.58549289301353,2.53441817304255
67,-2.81250431458279,2.34572383777522,-2.57536381002608,2.54766474467488
68,-2.50355159620722,3.09045836522244,-2.58105301237598,2.51204562005356
69,-2.18052988612856,2.15538698944513,-2.65030965073698,2.59798258090848
70,-2.59011383919872,2.53923829051095,-2.61030793449231,2.63242156965987
71,-2.39962234502715,2.03436204367282,-2.58810736950281,2.57398852106475
72,-2.73973556649729,2.86434937829195,-2.60525542143031,2.52987185533014
73,-2.41283499944542,2.31497428534349,-2.58816086617319,2.570385822461
74,-2.70353850882618,2.4587100316944,-2.57782617353838,2.55156134715086
75,-3.06190178027474,3.0904178649503,-2.51974371084954,2.57380985254319
76,-2.97567921917452,2.9362106318351,-2.55435573817816,2.56311063002974
77,-2.29892508846548,2.68697273494135,-2.55338246093602,2.56862310793252
78,-2.19196767955352,2.4948195594023,-2.5837226440216,2.54540271860646
79,-3.10705041560295,2.4850678816493,-2.56903380733927,2.51440708878452
80,-2.5189621874418,2.45845494725934,-2.57463984603155,2.56321193681792
81,-2.13147242593053,2.41903864749099,-2.55006218326874,2.5393760416976
82,-2.68972955972864,2.89441867142341,-2.59629980243009,2.56011567082188
83,-3.07238313879155,2.76215442247897,-2.55698428479263,2.51214943218797
84,-1.95693084634414,2.41409427549461,-2.59952724226895,2.55795504114913
85,-2.44793694844898,2.64407082853757,-2.60332174458752,2.56516808503487
86,-2.23216003076934,2.50345443446488,-2.54496647999158,2.54428955839356
87,-2.03943155934212,2.44898655097595,-2.55261142964342,2.54638948977324
88,-3.0056211851433,2.53049206846515,-2.62215441181078,2.58224246098765
89,-2.31923342547117,2.10228655566612,-2.59165758701474,2.54174686273841
90,-2.27269228944557,2.57955785238257,-2.56906246708512,2.51902108772398
91,-2.02951168266754,2.73723189442693,-2.57486417859837,2.54750056219386
