k,n_j,sigma_sq,coverage,avg_length
65,20,100,0.907,35.4884953174572
70,20,100,0.914,35.4607884870288
75,20,100,0.902,35.4871214177392
80,20,100,0.899,35.4783184739669
85,20,100,0.904,35.4236971589046
90,20,100,0.897,35.1820208598609
95,20,100,0.904,35.4243946576677
100,20,100,0.902,35.505138738388
105,20,100,0.905,35.4859726803222
110,20,100,0.91,35.0945744308132
115,20,100,0.919,35.8102520028043
120,20,100,0.906,35.3064318890576
125,20,100,0.916,35.125966921003
130,20,100,0.904,35.3911151013267
135,20,100,0.895,35.2442671982651
140,20,100,0.896,35.3472559274378
145,20,100,0.911,35.6334618047595
150,20,100,0.926,35.4446836609628
155,20,100,0.906,35.5162074269598
160,20,100,0.916,35.4213742085628
165,20,100,0.918,35.2103819282303
170,20,100,0.899,35.0917986393214
175,20,100,0.918,35.0687548855926
180,20,100,0.895,35.3024282569324
185,20,100,0.911,35.3531356085912
190,20,100,0.911,35.5211433064141
195,20,100,0.911,35.7299692540112
200,20,100,0.91,35.604165265787
205,20,100,0.906,35.3138925587809
210,20,100,0.9,35.2783045341982
215,20,100,0.907,35.4445143526691
220,20,100,0.897,35.2764830553915
225,20,100,0.896,35.3119734105162
230,20,100,0.902,35.1837665354734
235,20,100,0.896,35.2495550965856
240,20,100,0.891,35.2405408053822
245,20,100,0.903,35.2116875071792
250,20,100,0.907,35.6536434666738
255,20,100,0.903,35.5047392002751
260,20,100,0.9,35.110673213072
265,20,100,0.897,35.324005023952
270,20,100,0.908,35.498364923933
275,20,100,0.905,35.3654127984487
280,20,100,0.909,35.6132606649184
285,20,100,0.905,35.3315269532793
290,20,100,0.9,35.3896969336353
295,20,100,0.899,34.7889727203611
300,20,100,0.914,35.3956481693447
305,20,100,0.899,35.490302946669
310,20,100,0.921,35.4718738215915
315,20,100,0.912,35.3126866803435
320,20,100,0.901,35.560172583953
325,20,100,0.894,35.3839822918678
330,20,100,0.884,35.1856387139257
335,20,100,0.903,35.633010095456
340,20,100,0.921,35.380318414159
345,20,100,0.891,35.5900940014901
350,20,100,0.898,35.2731409147134
355,20,100,0.914,35.6347461430405
360,20,100,0.9,35.3522806873089
365,20,100,0.904,35.4454578718495
370,20,100,0.89,35.2118120134075
375,20,100,0.907,35.6882075401735
380,20,100,0.903,35.1969929297426
385,20,100,0.909,35.6481621948713
390,20,100,0.908,35.5997044147678
