k,n_j,sigma_sq,coverage,avg_length
5,20,1,0.892,3.5965693937956
10,20,1,0.91,3.58863428207978
15,20,1,0.921,3.6249861032747
20,20,1,0.894,3.61183988291168
25,20,1,0.911,3.635025211193
30,20,1,0.911,3.64472844944803
35,20,1,0.902,3.62169542967883
40,20,1,0.899,3.60913013865157
45,20,1,0.892,3.60747493800026
50,20,1,0.912,3.63872366962188
55,20,1,0.895,3.57767394680778
60,20,1,0.904,3.61953103932794
65,20,1,0.894,3.6135818142609
70,20,1,0.897,3.62416034613862
75,20,1,0.906,3.61374570593498
80,20,1,0.903,3.58108280235535
85,20,1,0.912,3.61180065342387
90,20,1,0.93,3.60065757249334
95,20,1,0.921,3.6384449208452
100,20,1,0.905,3.60650333872941
105,20,1,0.918,3.6146471921897
110,20,1,0.907,3.60273323749053
115,20,1,0.893,3.61831759699615
120,20,1,0.907,3.59537721024776
125,20,1,0.898,3.59459420678942
130,20,1,0.894,3.60672664391038
135,20,1,0.904,3.64495256920448
140,20,1,0.904,3.61171852139903
145,20,1,0.903,3.65236585759522
150,20,1,0.908,3.60320523284633
155,20,1,0.904,3.64238523282232
160,20,1,0.89,3.59615819202126
165,20,1,0.909,3.6102232001796
170,20,1,0.9,3.64983223167397
175,20,1,0.916,3.6186220225522
180,20,1,0.89,3.61406531051582
185,20,1,0.922,3.62337728328814
190,20,1,0.906,3.61542570595043
195,20,1,0.907,3.60082928763976
200,20,1,0.907,3.62985842512032
205,20,1,0.896,3.5948403557626
210,20,1,0.904,3.65365191966547
215,20,1,0.906,3.62168817456922
220,20,1,0.929,3.58543943114531
225,20,1,0.906,3.61229570569024
230,20,1,0.893,3.66127897105599
235,20,1,0.899,3.63305235622784
240,20,1,0.916,3.62949741232594
245,20,1,0.902,3.59412853575862
250,20,1,0.9,3.59998396564029
255,20,1,0.902,3.6534550278489
260,20,1,0.901,3.58913353769414
265,20,1,0.905,3.61315527064917
270,20,1,0.886,3.59801429628138
275,20,1,0.916,3.62567021717658
280,20,1,0.907,3.59492537724153
285,20,1,0.906,3.64456705922121
290,20,1,0.911,3.64184561675069
295,20,1,0.896,3.63479108653328
300,20,1,0.903,3.60932782071122
305,20,1,0.905,3.61262456236354
310,20,1,0.902,3.63513774759109
315,20,1,0.903,3.58630316884941
320,20,1,0.896,3.64555826785514
325,20,1,0.902,3.59407602886112
330,20,1,0.913,3.60732651060464
335,20,1,0.911,3.63422426516878
340,20,1,0.911,3.59793625983294
345,20,1,0.923,3.61999085735434
350,20,1,0.913,3.64615180281652
355,20,1,0.907,3.66048562954568
360,20,1,0.911,3.62542197250506
365,20,1,0.923,3.58896311649254
370,20,1,0.918,3.6465049821104
375,20,1,0.911,3.63503153363216
380,20,1,0.912,3.65006638892833
385,20,1,0.907,3.599969547201
390,20,1,0.901,3.61935648738548
395,20,1,0.91,3.61814190684456
400,20,1,0.921,3.6393215009724
405,20,1,0.901,3.59535931985926
410,20,1,0.885,3.58585383357093
415,20,1,0.922,3.57592242094355
420,20,1,0.901,3.60281529605466
425,20,1,0.907,3.6232886328307
430,20,1,0.91,3.61094737906642
435,20,1,0.91,3.60017699194213
440,20,1,0.912,3.58254080903369
445,20,1,0.907,3.60809307719741
450,20,1,0.912,3.64376493012697
455,20,1,0.904,3.62028225233447
460,20,1,0.916,3.61808064515895
465,20,1,0.91,3.58217356152507
470,20,1,0.904,3.63026537652773
475,20,1,0.913,3.62007146609834
480,20,1,0.913,3.61000897907157
485,20,1,0.898,3.61641663592711
490,20,1,0.893,3.60395907449883
495,20,1,0.902,3.60120136676267
500,20,1,0.907,3.61493582695628
505,20,1,0.915,3.60896475957059
510,20,1,0.904,3.62459662979504
515,20,1,0.917,3.61226636164466
520,20,1,0.925,3.62348832262034
525,20,1,0.915,3.61400425185332
530,20,1,0.907,3.56593941129758
535,20,1,0.921,3.63358099111146
540,20,1,0.923,3.64149093811148
545,20,1,0.901,3.60952264180066
550,20,1,0.901,3.60437237656515
555,20,1,0.902,3.62585274497038
560,20,1,0.921,3.61059654209483
565,20,1,0.909,3.61116648223948
570,20,1,0.898,3.59299050896135
575,20,1,0.901,3.58686652469599
580,20,1,0.909,3.59806451519393
585,20,1,0.902,3.63017721240737
590,20,1,0.899,3.61175820662086
595,20,1,0.909,3.63140795204891
600,20,1,0.916,3.61738785100192
605,20,1,0.908,3.63146395627917
610,20,1,0.904,3.62813671510198
615,20,1,0.92,3.65085786655222
620,20,1,0.919,3.64094922300524
625,20,1,0.903,3.65262323119579
630,20,1,0.905,3.60116443246798
635,20,1,0.916,3.62688309919342
640,20,1,0.906,3.63072734532029
645,20,1,0.908,3.58772129818132
650,20,1,0.897,3.64704601998069
655,20,1,0.903,3.62472634706486
660,20,1,0.896,3.62347788030442
665,20,1,0.905,3.60979546679311
670,20,1,0.914,3.60403013637799
675,20,1,0.887,3.61750592547799
680,20,1,0.907,3.63086656099701
685,20,1,0.916,3.63362787489966
690,20,1,0.903,3.63945988595869
695,20,1,0.909,3.5995998918891
700,20,1,0.923,3.62074828174037
705,20,1,0.914,3.64202492076795
710,20,1,0.904,3.60928805521744
715,20,1,0.893,3.56521000034515
720,20,1,0.905,3.62579499851675
725,20,1,0.919,3.63949511547435
730,20,1,0.91,3.62123158008123
735,20,1,0.912,3.63221509595139
740,20,1,0.906,3.61192013352304
745,20,1,0.903,3.64253417143957
750,20,1,0.897,3.61216030713636
755,20,1,0.883,3.63046898078068
760,20,1,0.885,3.60127424947712
765,20,1,0.898,3.61330019447517
770,20,1,0.912,3.63249399695244
775,20,1,0.913,3.6206341713162
780,20,1,0.895,3.62462610420742
785,20,1,0.897,3.61004289676441
790,20,1,0.909,3.61734897890792
795,20,1,0.899,3.59365946688574
800,20,1,0.911,3.6479662749283
805,20,1,0.894,3.59225951710717
810,20,1,0.906,3.60568483022483
815,20,1,0.91,3.60165795040681
820,20,1,0.901,3.63746375876208
825,20,1,0.905,3.5618764307146
830,20,1,0.916,3.61737094392471
835,20,1,0.919,3.61012764046002
840,20,1,0.912,3.61660108377229
845,20,1,0.894,3.62910293732624
850,20,1,0.911,3.61519060452557
855,20,1,0.891,3.60968396959176
860,20,1,0.892,3.62341442891617
865,20,1,0.931,3.6694977704733
870,20,1,0.909,3.599509576188
875,20,1,0.902,3.62007979801702
880,20,1,0.898,3.61570139615189
885,20,1,0.91,3.61591054692852
890,20,1,0.917,3.65311210869184
895,20,1,0.899,3.57988793675536
900,20,1,0.906,3.63241061438663
905,20,1,0.908,3.60735463774885
910,20,1,0.902,3.61802989789559
915,20,1,0.923,3.59218560485572
920,20,1,0.904,3.60440921442984
925,20,1,0.899,3.61357694841266
930,20,1,0.911,3.58823834045133
935,20,1,0.914,3.60627957104865
940,20,1,0.905,3.60546210019354
945,20,1,0.916,3.67017820548186
950,20,1,0.914,3.65225198006224
955,20,1,0.904,3.60779665999645
960,20,1,0.907,3.56821354384745
965,20,1,0.902,3.60188729164751
970,20,1,0.902,3.65656281437422
975,20,1,0.896,3.6100713289048
980,20,1,0.915,3.59353111136963
985,20,1,0.915,3.60306544879566
990,20,1,0.899,3.62957454465104
995,20,1,0.901,3.6312207663694
1000,20,1,0.907,3.65166586440958
5,20,100,0.922,35.8809333198073
10,20,100,0.902,35.9330310263944
15,20,100,0.909,35.8895596460275
20,20,100,0.911,36.3892201938265
25,20,100,0.912,36.1649945480847
30,20,100,0.891,36.6372936323842
35,20,100,0.905,35.8442075614839
40,20,100,0.891,36.2213534707976
45,20,100,0.884,36.2085097769811
50,20,100,0.913,36.2043742422912
55,20,100,0.893,35.977392843537
60,20,100,0.894,36.0762154776093
65,20,100,0.901,36.0274282252337
70,20,100,0.91,36.1524673534221
75,20,100,0.898,36.336913642152
80,20,100,0.907,36.135877888227
85,20,100,0.908,36.4525677054961
90,20,100,0.904,36.3567188102301
95,20,100,0.901,36.2354060104397
100,20,100,0.903,36.2808108114481
105,20,100,0.914,36.3700890661446
110,20,100,0.905,35.9320154382628
115,20,100,0.923,36.4388910278158
120,20,100,0.909,36.309680693232
125,20,100,0.91,36.3186215537699
130,20,100,0.906,36.1893857522816
135,20,100,0.898,36.3185772749488
140,20,100,0.907,36.1958365130293
145,20,100,0.899,36.4819025821613
150,20,100,0.897,36.1403356626803
155,20,100,0.913,36.2774258559993
160,20,100,0.905,35.8417159638139
165,20,100,0.915,36.2737886084641
170,20,100,0.897,36.0407648341149
175,20,100,0.882,36.3002448339946
180,20,100,0.902,36.2332005702841
185,20,100,0.909,36.2405468612939
190,20,100,0.912,36.5270489622918
195,20,100,0.908,36.6975452901991
200,20,100,0.905,36.3033180584511
205,20,100,0.916,36.2905022508695
210,20,100,0.901,36.3169219075246
215,20,100,0.895,36.0277186186066
220,20,100,0.915,35.6541698848969
225,20,100,0.88,35.9541715898015
230,20,100,0.887,35.9279034012318
235,20,100,0.9,36.2911972553238
240,20,100,0.891,36.1656303044628
245,20,100,0.896,36.2128765619459
250,20,100,0.898,36.3332218401937
255,20,100,0.908,36.121633316354
260,20,100,0.915,36.2750460104046
265,20,100,0.919,36.4456564893285
270,20,100,0.897,36.2070466880599
275,20,100,0.891,35.830254297617
280,20,100,0.915,36.1545299618528
285,20,100,0.902,36.0676814242233
290,20,100,0.911,36.0547078212869
295,20,100,0.89,36.1042587413676
300,20,100,0.909,35.9058709505124
305,20,100,0.907,36.4490426801587
310,20,100,0.89,36.0370360781694
315,20,100,0.925,36.250578318275
320,20,100,0.92,36.1408558065873
325,20,100,0.893,35.8806353679249
330,20,100,0.927,35.7764884341061
335,20,100,0.904,36.0995852885168
340,20,100,0.903,36.121499005475
345,20,100,0.908,36.0702404245655
350,20,100,0.905,36.249654956736
355,20,100,0.917,35.945268064453
360,20,100,0.889,35.953141484139
365,20,100,0.899,36.2623252673092
370,20,100,0.896,36.3994258750182
375,20,100,0.916,36.4302766476165
380,20,100,0.891,35.9150183789953
385,20,100,0.904,36.1253979745472
390,20,100,0.914,36.3751638238464
395,20,100,0.913,36.3146443288987
400,20,100,0.897,35.9644252248165
405,20,100,0.912,36.198627749752
410,20,100,0.904,36.0477428876785
415,20,100,0.916,36.4609658127243
420,20,100,0.908,36.3230485339138
425,20,100,0.922,36.3344716333125
430,20,100,0.915,36.0012643225527
435,20,100,0.915,35.9706302305356
440,20,100,0.908,36.4564991606582
445,20,100,0.898,36.1203949497783
450,20,100,0.924,36.0437656897241
455,20,100,0.884,35.9711361597276
460,20,100,0.903,36.3108525535123
465,20,100,0.911,35.9815433373236
470,20,100,0.902,35.8995047760146
475,20,100,0.901,36.1874723829367
480,20,100,0.896,35.8238675607555
485,20,100,0.899,36.1044554350435
490,20,100,0.897,35.8915972212252
495,20,100,0.913,35.8633439246317
500,20,100,0.906,36.3344874861387
505,20,100,0.911,36.3763665368564
510,20,100,0.904,35.8875666379169
515,20,100,0.902,36.0655912318338
520,20,100,0.894,36.3492207665422
525,20,100,0.902,36.287119837661
530,20,100,0.919,36.2657276192833
535,20,100,0.91,36.3210660080246
540,20,100,0.909,36.2040182759796
545,20,100,0.884,35.9697124639589
550,20,100,0.909,36.0127843396278
555,20,100,0.908,36.5565296574971
560,20,100,0.912,36.0544877260009
565,20,100,0.922,36.6634704383891
570,20,100,0.903,35.7004224536787
575,20,100,0.904,36.2740374130477
580,20,100,0.908,36.3080235189267
585,20,100,0.894,36.2285541450899
590,20,100,0.899,36.3115317662629
595,20,100,0.914,36.0419496192628
600,20,100,0.904,36.3522444689691
605,20,100,0.897,36.038089513353
610,20,100,0.91,36.3415772894053
615,20,100,0.912,36.3928078806197
620,20,100,0.889,36.0346030874574
625,20,100,0.903,36.0271877189475
630,20,100,0.888,36.3394639348873
635,20,100,0.907,36.0252406378231
640,20,100,0.921,36.2162779880377
645,20,100,0.911,36.1587279048293
650,20,100,0.917,36.2026171670728
655,20,100,0.905,35.912312574097
660,20,100,0.899,36.0367905753169
665,20,100,0.908,36.3264816311258
670,20,100,0.904,36.2655202577413
675,20,100,0.9,36.0604103853048
680,20,100,0.907,35.9093809462968
685,20,100,0.915,36.3704995148906
690,20,100,0.908,36.463790608348
695,20,100,0.909,35.7738705956657
700,20,100,0.928,36.3901398088336
705,20,100,0.915,35.6086680871235
710,20,100,0.909,36.2260159621716
715,20,100,0.904,36.1072137534976
720,20,100,0.909,35.9065408762488
725,20,100,0.909,35.9372361553947
730,20,100,0.904,36.0574703013259
735,20,100,0.924,35.9246396117966
740,20,100,0.897,36.4292169640813
745,20,100,0.916,36.1736197272541
750,20,100,0.916,36.4104379043475
755,20,100,0.902,36.1334749883933
760,20,100,0.898,35.6798532074083
765,20,100,0.895,36.0099895059261
770,20,100,0.902,36.2389478040124
775,20,100,0.912,36.1049830256045
780,20,100,0.907,36.2729864706655
785,20,100,0.899,36.2892867535239
790,20,100,0.913,36.3018811628886
795,20,100,0.901,36.1656163980567
800,20,100,0.901,36.255274979193
805,20,100,0.9,35.7543383924235
810,20,100,0.909,36.1334472213743
815,20,100,0.903,35.7974106769284
820,20,100,0.903,36.1654170790956
825,20,100,0.897,35.67502701312
830,20,100,0.896,36.2340863098091
835,20,100,0.904,36.448927578509
840,20,100,0.899,35.9682106267969
845,20,100,0.921,35.9952517467809
850,20,100,0.899,36.5065589401999
855,20,100,0.909,36.4165326853527
860,20,100,0.909,36.2657361048701
865,20,100,0.905,35.7246806435856
870,20,100,0.899,36.5635653630676
875,20,100,0.889,36.0523616969745
880,20,100,0.914,36.3794889722269
885,20,100,0.911,36.6827698363804
890,20,100,0.916,35.7856452591436
895,20,100,0.912,36.2471424686425
900,20,100,0.895,36.0301606165696
905,20,100,0.897,36.4230520929353
910,20,100,0.901,36.1174411760532
915,20,100,0.905,36.3601201822614
920,20,100,0.896,36.5991237188907
925,20,100,0.895,36.1132874365666
930,20,100,0.903,36.1113097845607
935,20,100,0.905,35.8878814340909
940,20,100,0.918,35.9414618809701
945,20,100,0.921,36.2679863643415
950,20,100,0.917,36.0764045183673
955,20,100,0.882,35.8260844523306
960,20,100,0.903,36.4891039037921
965,20,100,0.891,36.0911909482363
970,20,100,0.893,36.2836529144955
975,20,100,0.901,36.2205776188552
980,20,100,0.908,36.0015392114897
985,20,100,0.9,36.0106369420619
990,20,100,0.918,36.2754566256626
995,20,100,0.883,35.8931617779297
1000,20,100,0.898,35.9669314985571
