k,n_small,n_large,coverage,avg_length
5,5,1000,0.66,23.2769983184149
10,5,1000,0.832,31.143132701728
15,5,1000,0.879,34.5208711384424
20,5,1000,0.862,32.9832952612313
25,5,1000,0.841,30.5326086980303
30,5,1000,0.886,32.1498632620176
35,5,1000,0.883,33.4117776087632
40,5,1000,0.863,32.8295153466525
45,5,1000,0.87,31.7380867810065
50,5,1000,0.877,32.6172148054831
55,5,1000,0.9,33.2145491869261
60,5,1000,0.886,32.9256681190319
65,5,1000,0.88,32.1752541212941
70,5,1000,0.895,32.6521265163933
75,5,1000,0.905,33.0753943706956
80,5,1000,0.896,32.605966428772
85,5,1000,0.898,32.3865693669146
90,5,1000,0.904,32.900196575614
95,5,1000,0.897,33.1017361592844
100,5,1000,0.887,32.6050130164385
