k,n_small,n_large,coverage,avg_length
20,5,1000,0.914,37.2205509244266
25,5,1000,0.913,39.0846806061966
30,5,1000,0.934,40.9751053408411
35,5,1000,0.944,42.2957656896222
40,5,1000,0.904,35.3890792309776
45,5,1000,0.902,36.0039413500013
50,5,1000,0.923,37.2356067373321
55,5,1000,0.933,37.88376875042
60,5,1000,0.889,34.4133993449622
65,5,1000,0.908,35.1374736714354
70,5,1000,0.927,35.7323148908516
75,5,1000,0.922,36.391506620484
80,5,1000,0.896,33.898402464478
85,5,1000,0.916,34.6835146397999
90,5,1000,0.909,35.1737649711004
95,5,1000,0.898,35.4445450705707
100,5,1000,0.903,33.6928950665301
