k,n,mu,tau_sq,coverage,avg_size
85,1000,0,1,0.915,4.76365456526155
85,1000,1,0.1,0.904,3.58348648586212
90,1000,0,1,0.909,4.62562380248074
90,1000,1,0.1,0.905,3.5227900055804
95,1000,0,1,0.904,4.74900104608482
95,1000,1,0.1,0.913,3.5899816256995
100,1000,0,1,0.904,4.63630372534759
100,1000,1,0.1,0.901,3.50135909314055
200,1000,0,1,0.897,4.57635619437227
200,1000,1,0.1,0.894,3.48394571274496
300,1000,0,1,0.893,4.55443666299494
300,1000,1,0.1,0.901,3.46949577662689
400,1000,0,1,0.903,4.55781184294351
400,1000,1,0.1,0.895,3.4742623926437
500,1000,0,1,0.897,4.5372051852084
500,1000,1,0.1,0.905,3.45398308087409
600,1000,0,1,0.91,4.53537436347132
600,1000,1,0.1,0.903,3.44883646593173
700,1000,0,1,0.917,4.54099352960841
700,1000,1,0.1,0.912,3.45957171756627
800,1000,0,1,0.902,4.52950112773454
800,1000,1,0.1,0.901,3.45511330805588
900,1000,0,1,0.9,4.53343719268966
900,1000,1,0.1,0.9,3.45196311188001
1000,1000,0,1,0.906,4.55863954411769
1000,1000,1,0.1,0.91,3.46296341239766
