k,n,mu,tau_sq,coverage,avg_size
20,20,0,1,0.887,4.58465626891588
20,20,1,0.1,0.894,3.44026613947283
20,100,0,1,0.896,4.67054478044017
20,100,1,0.1,0.884,3.4679036162951
20,1000,0,1,0.888,4.62136802232639
20,1000,1,0.1,0.895,3.45777472292584
25,20,0,1,0.899,4.60253994222969
25,20,1,0.1,0.895,3.45065867174596
25,100,0,1,0.901,4.62287977141488
25,100,1,0.1,0.912,3.46049177508222
25,1000,0,1,0.906,4.61507610868446
25,1000,1,0.1,0.908,3.45917180088718
30,20,0,1,0.87,4.61869045022659
30,20,1,0.1,0.874,3.45727045000902
30,100,0,1,0.895,4.58504162474963
30,100,1,0.1,0.906,3.45146408805917
30,1000,0,1,0.908,4.6047051282598
30,1000,1,0.1,0.894,3.45765471351492
35,20,0,1,0.891,4.58237786323204
35,20,1,0.1,0.897,3.44536994085904
35,100,0,1,0.911,4.59663153207909
35,100,1,0.1,0.89,3.45398912427424
35,1000,0,1,0.891,4.58101166286571
35,1000,1,0.1,0.905,3.45292171322964
40,20,0,1,0.89,4.56726644070163
40,20,1,0.1,0.885,3.44231111468346
40,100,0,1,0.893,4.60298989560836
40,100,1,0.1,0.901,3.45666431040062
40,1000,0,1,0.904,4.57690918287236
40,1000,1,0.1,0.887,3.4513930581476
45,20,0,1,0.896,4.56473573889016
45,20,1,0.1,0.898,3.44216363070078
45,100,0,1,0.905,4.5756132013586
45,100,1,0.1,0.913,3.45334117237587
45,1000,0,1,0.909,4.58206806889677
45,1000,1,0.1,0.921,3.45348176331914
50,20,0,1,0.896,4.56103956460513
50,20,1,0.1,0.928,3.44556381912245
50,100,0,1,0.91,4.56470812712644
50,100,1,0.1,0.915,3.45195626592166
50,1000,0,1,0.914,4.57055310171709
50,1000,1,0.1,0.902,3.4518865559683
55,20,0,1,0.897,4.55656850703724
55,20,1,0.1,0.899,3.45330379604087
55,100,0,1,0.899,4.57719555576827
55,100,1,0.1,0.918,3.45179965314246
55,1000,0,1,0.9,4.59699411691082
55,1000,1,0.1,0.891,3.45587601708917
60,20,0,1,0.904,4.57031164401062
60,20,1,0.1,0.899,3.44787060823362
60,100,0,1,0.883,4.55423762182397
60,100,1,0.1,0.888,3.44881167391076
60,1000,0,1,0.877,4.57009895072553
60,1000,1,0.1,0.887,3.4515059268825
65,20,0,1,0.892,4.56115803149922
65,20,1,0.1,0.891,3.44699440833219
65,100,0,1,0.875,4.55676873051884
65,100,1,0.1,0.898,3.44873100110824
65,1000,0,1,0.901,4.55398659324438
65,1000,1,0.1,0.916,3.4499698169257
70,20,0,1,0.9,4.55029772056712
70,20,1,0.1,0.9,3.44197347110263
70,100,0,1,0.899,4.5438020601319
70,100,1,0.1,0.902,3.44987663205139
70,1000,0,1,0.902,4.56219801133109
70,1000,1,0.1,0.91,3.4513736505419
75,20,0,1,0.896,4.55738798365698
75,20,1,0.1,0.9,3.45134183106596
75,100,0,1,0.905,4.53804569508389
75,100,1,0.1,0.902,3.4486142444436
75,1000,0,1,0.9,4.54534406272202
75,1000,1,0.1,0.891,3.44833084748564
80,20,0,1,0.887,4.54886688747748
80,20,1,0.1,0.882,3.44559527466925
80,100,0,1,0.895,4.56282390354653
80,100,1,0.1,0.892,3.45182323272231
80,1000,0,1,0.905,4.56295818584052
80,1000,1,0.1,0.917,3.45162180344167
85,20,0,1,0.889,4.54033602533731
85,20,1,0.1,0.888,3.44212425161586
85,100,0,1,0.895,4.55366868184821
85,100,1,0.1,0.906,3.4489364961466
85,1000,0,1,0.894,4.53775973026527
85,1000,1,0.1,0.889,3.44800539035656
90,20,0,1,0.896,4.55017050853792
90,20,1,0.1,0.9,3.4501802698902
90,100,0,1,0.907,4.54719069826979
90,100,1,0.1,0.912,3.45094531256484
90,1000,0,1,0.904,4.55495989918333
90,1000,1,0.1,0.907,3.44988794677948
95,20,0,1,0.899,4.55340270478149
95,20,1,0.1,0.89,3.45177675396413
95,100,0,1,0.916,4.54813441029794
95,100,1,0.1,0.905,3.45166612988069
95,1000,0,1,0.891,4.55628538189117
95,1000,1,0.1,0.885,3.4504859733182
100,20,0,1,0.898,4.54920779249745
100,20,1,0.1,0.894,3.44982899755597
100,100,0,1,0.91,4.55291158872732
100,100,1,0.1,0.922,3.4515623826886
100,1000,0,1,0.894,4.54438710541653
100,1000,1,0.1,0.873,3.44824951978374
200,20,0,1,0.891,4.53825599206279
200,20,1,0.1,0.908,3.4466812722735
200,100,0,1,0.889,4.53708417806816
200,100,1,0.1,0.889,3.44789221488061
200,1000,0,1,0.901,4.54222778228624
200,1000,1,0.1,0.902,3.44866585311361
300,20,0,1,0.916,4.53040701935016
300,20,1,0.1,0.899,3.44701168255852
300,100,0,1,0.916,4.5303623088242
300,100,1,0.1,0.899,3.44912117543335
300,1000,0,1,0.894,4.53187863632069
300,1000,1,0.1,0.898,3.44718386433692
400,20,0,1,0.897,4.52317664446457
400,20,1,0.1,0.901,3.44651372547679
400,100,0,1,0.911,4.5269908087756
400,100,1,0.1,0.913,3.4460162280043
400,1000,0,1,0.901,4.52821529448754
400,1000,1,0.1,0.896,3.44648837692421
500,20,0,1,0.898,4.52959297222341
500,20,1,0.1,0.899,3.45040464920932
500,100,0,1,0.921,4.52827041696337
500,100,1,0.1,0.905,3.44716379846448
500,1000,0,1,0.893,4.53024112813979
500,1000,1,0.1,0.889,3.446903250342
600,20,0,1,0.891,4.53370489183643
600,20,1,0.1,0.905,3.44660242236473
600,100,0,1,0.886,4.52686365584478
600,100,1,0.1,0.891,3.44619266918304
600,1000,0,1,0.901,4.52559946640362
600,1000,1,0.1,0.881,3.44646583179189
700,20,0,1,0.902,4.53322059939753
700,20,1,0.1,0.894,3.44817080550625
700,100,0,1,0.898,4.52661123584994
700,100,1,0.1,0.89,3.44653184419567
700,1000,0,1,0.894,4.52705970144692
700,1000,1,0.1,0.891,3.44666717902665
800,20,0,1,0.906,4.53059713564039
800,20,1,0.1,0.897,3.44691233412095
800,100,0,1,0.918,4.52592719062003
800,100,1,0.1,0.914,3.44638645557467
800,1000,0,1,0.895,4.52589470370328
800,1000,1,0.1,0.888,3.44598930851966
900,20,0,1,0.889,4.52615683079442
900,20,1,0.1,0.899,3.44575050921525
900,100,0,1,0.886,4.5319357634646
900,100,1,0.1,0.889,3.44740916570567
900,1000,0,1,0.905,4.52627838500992
900,1000,1,0.1,0.898,3.44650168309407
1000,20,0,1,0.903,4.52551797805406
1000,20,1,0.1,0.909,3.44635474952587
1000,100,0,1,0.901,4.5278384782157
1000,100,1,0.1,0.905,3.4468486908141
1000,1000,0,1,0.898,4.53108798802362
1000,1000,1,0.1,0.901,3.4470179422871
